episode,reward,loss,cWnd,rtt_us,throughput,packet_loss
1,151.2437,0.000000,32760,147354.00,230400.00,0
2,152.9268,0.000000,10080,134518.00,86400.00,0
3,130.8491,0.075439,1440,0.00,0.00,0
4,109.8422,0.019273,34920,155634.00,259200.00,0
5,155.3823,0.006781,36360,143686.00,230400.00,0
6,142.4851,0.003237,43560,172722.00,230400.00,0
7,115.6308,0.000938,49280,203304.00,259200.00,0
8,118.5766,0.000417,48920,196283.00,230400.00,0
9,119.5042,0.000191,49640,203061.00,230400.00,0
10,117.3880,0.000101,42440,177199.00,259200.00,0
11,128.1116,0.000066,47480,191906.00,230400.00,0
12,120.0276,0.000041,39560,167405.00,259200.00,0
13,119.2151,0.000025,48560,203309.00,230400.00,0
14,118.7412,0.000020,45320,198060.00,230400.00,0
15,120.7054,0.000016,46400,191801.00,259200.00,0
16,123.3464,0.000015,49640,203114.00,230400.00,0
17,123.0085,0.000010,45680,179996.00,230400.00,0
18,123.5588,0.000011,43880,185879.00,259200.00,0
19,118.5238,0.000009,50000,203013.00,230400.00,0
20,121.7582,0.000008,48560,203252.00,230400.00,0
21,121.3544,0.000008,46760,179363.00,259200.00,0
22,122.1792,0.000008,50000,197939.00,230400.00,0
23,119.5928,0.000007,43880,185297.00,230400.00,0
24,126.6487,0.000005,46040,192589.00,259200.00,0
25,121.6116,0.000006,45680,191237.00,230400.00,0
26,119.8439,0.000004,46400,201007.00,259200.00,0
27,122.7036,0.000005,46040,202400.00,230400.00,0
28,122.9597,0.000005,43160,187313.00,230400.00,0
29,119.8140,0.000006,43160,181291.00,259200.00,0
30,130.9155,0.000008,38840,172263.00,230400.00,0
