step,throughput_bps,rtt_us,cum_packet_loss
1,0.00,0.00,0
2,115200.00,110128.00,0
3,115200.00,129555.00,0
4,115200.00,131050.00,0
5,115200.00,125937.00,0
6,115200.00,130054.00,0
7,115200.00,125032.00,0
8,144000.00,124995.00,0
9,115200.00,127698.00,0
10,144000.00,126214.00,0
11,144000.00,121234.00,0
12,172800.00,120201.00,0
13,172800.00,123631.00,0
14,144000.00,118977.00,0
15,172800.00,118440.00,0
16,144000.00,122603.00,0
17,144000.00,124458.00,0
18,144000.00,123093.00,0
19,144000.00,119101.00,0
20,144000.00,116703.00,0
21,172800.00,115780.00,0
22,144000.00,117291.00,0
23,144000.00,123471.00,0
24,115200.00,127207.00,0
25,144000.00,128497.00,0
26,115200.00,124964.00,0
27,115200.00,124185.00,0
28,115200.00,126635.00,0
29,115200.00,127692.00,0
30,144000.00,129064.00,0
31,144000.00,128390.00,0
32,144000.00,123700.00,0
33,172800.00,126236.00,0
34,144000.00,121096.00,0
35,144000.00,119643.00,0
36,144000.00,124614.00,0
37,144000.00,125930.00,0
38,144000.00,124571.00,0
39,144000.00,119679.00,0
40,172800.00,117011.00,0
41,172800.00,115902.00,0
42,144000.00,117301.00,0
43,115200.00,123660.00,0
44,115200.00,126541.00,0
45,144000.00,128191.00,0
46,115200.00,125587.00,0
47,115200.00,123419.00,0
48,115200.00,126018.00,0
49,144000.00,128175.00,0
50,144000.00,129187.00,0
51,172800.00,128816.00,0
52,172800.00,124376.00,0
53,144000.00,127825.00,0
54,172800.00,124577.00,0
55,172800.00,123102.00,0
56,172800.00,118397.00,0
57,144000.00,116605.00,0
58,201600.00,115575.00,0
59,172800.00,116938.00,0
60,172800.00,122542.00,0
61,172800.00,124907.00,0
62,144000.00,126023.00,0
63,172800.00,123661.00,0
64,172800.00,126158.00,0
65,172800.00,123127.00,0
66,172800.00,120885.00,0
67,172800.00,123018.00,0
68,201600.00,123797.00,0
69,201600.00,123825.00,0
70,201600.00,124253.00,0
71,201600.00,122941.00,0
72,230400.00,122532.00,0
73,201600.00,120188.00,0
74,230400.00,119550.00,0
75,230400.00,119256.00,0
76,230400.00,119648.00,0
77,230400.00,116547.00,0
78,201600.00,115018.00,0
79,230400.00,114869.00,0
80,230400.00,114954.00,0
81,230400.00,114558.00,0
82,230400.00,116649.00,0
83,201600.00,120491.00,0
84,201600.00,121584.00,0
85,201600.00,121723.00,0
86,201600.00,120205.00,0
87,201600.00,116993.00,0
88,201600.00,115279.00,0
89,201600.00,115017.00,0
90,172800.00,116770.00,0
91,201600.00,120748.00,0
92,172800.00,122802.00,0
93,230400.00,121690.00,0
94,172800.00,117387.00,0
95,230400.00,117375.00,0
96,201600.00,120617.00,0
97,201600.00,121650.00,0
98,230400.00,119893.00,0
99,172800.00,116885.00,0
100,230400.00,117652.00,0
101,201600.00,120375.00,0
102,201600.00,121592.00,0
103,230400.00,122202.00,0
104,201600.00,122018.00,0
105,230400.00,121634.00,0
106,201600.00,120465.00,0
107,230400.00,119380.00,0
108,230400.00,118893.00,0
109,230400.00,118978.00,0
110,230400.00,116136.00,0
111,230400.00,114938.00,0
112,230400.00,114959.00,0
113,201600.00,116864.00,0
114,201600.00,119768.00,0
115,230400.00,121479.00,0
116,201600.00,122116.00,0
117,230400.00,120985.00,0
118,201600.00,119287.00,0
119,230400.00,119192.00,0
120,230400.00,118855.00,0
121,230400.00,118783.00,0
122,230400.00,116330.00,0
123,230400.00,115182.00,0
124,230400.00,114626.00,0
125,201600.00,116930.00,0
126,201600.00,120094.00,0
127,201600.00,121087.00,0
128,230400.00,122021.00,0
129,201600.00,120205.00,0
130,201600.00,118489.00,0
131,230400.00,120955.00,0
132,201600.00,121995.00,0
133,230400.00,120615.00,0
134,230400.00,116947.00,0
135,230400.00,118728.00,0
136,230400.00,122050.00,0
137,230400.00,121218.00,0
138,259200.00,120954.00,0
139,230400.00,119868.00,0
140,230400.00,122027.00,0
141,259200.00,128358.00,0
142,230400.00,130239.00,0
143,259200.00,131307.00,0
144,230400.00,133672.00,0
145,230400.00,139762.00,0
146,259200.00,142426.00,0
147,230400.00,142866.00,0
148,230400.00,144464.00,0
149,259200.00,150923.00,0
150,230400.00,153904.00,0
151,230400.00,155600.00,0
152,259200.00,162041.00,0
153,230400.00,166374.00,0
154,259200.00,173779.00,0
155,230400.00,177616.00,0
156,230400.00,184816.00,0
157,259200.00,189006.00,0
158,230400.00,190619.00,0
159,230400.00,191027.00,0
160,259200.00,191048.00,0
161,230400.00,191364.00,0
162,259200.00,191136.00,0
163,230400.00,191078.00,0
164,230400.00,185227.00,0
165,259200.00,181149.00,0
166,230400.00,180038.00,0
167,230400.00,179363.00,0
168,259200.00,184689.00,0
169,230400.00,183210.00,0
170,230400.00,180532.00,0
171,259200.00,179868.00,0
172,230400.00,179291.00,0
173,259200.00,179433.00,0
174,230400.00,179272.00,0
175,230400.00,179179.00,0
176,259200.00,184900.00,0
177,230400.00,189079.00,0
178,230400.00,190562.00,0
179,259200.00,185484.00,0
180,230400.00,181196.00,0
181,230400.00,180103.00,0
182,259200.00,184837.00,0
183,230400.00,189154.00,0
184,259200.00,184277.00,0
185,230400.00,180813.00,0
186,230400.00,179971.00,0
187,259200.00,184794.00,0
188,230400.00,189141.00,0
189,230400.00,184567.00,0
190,259200.00,180934.00,0
191,230400.00,179970.00,0
192,259200.00,179488.00,0
193,230400.00,185141.00,0
194,230400.00,183152.00,0
