step,throughput_bps,rtt_us,cum_packet_loss
2,115200.00,110128.00,0
3,144000.00,126602.00,0
4,144000.00,120684.00,0
5,144000.00,119736.00,0
6,144000.00,124895.00,0
7,115200.00,127907.00,0
8,144000.00,128868.00,0
9,115200.00,125419.00,0
10,144000.00,120466.00,0
11,144000.00,119361.00,0
12,172800.00,124948.00,0
13,201600.00,125490.00,0
14,201600.00,120192.00,0
15,172800.00,117159.00,0
16,144000.00,117364.00,0
17,201600.00,122943.00,0
18,172800.00,124224.00,0
19,201600.00,122701.00,0
20,172800.00,118328.00,0
21,230400.00,118689.00,0
22,230400.00,122780.00,0
23,201600.00,122232.00,0
24,230400.00,122357.00,0
25,201600.00,120196.00,0
26,230400.00,116484.00,0
27,230400.00,118263.00,0
28,259200.00,120748.00,0
29,230400.00,120649.00,0
30,230400.00,120474.00,0
31,259200.00,120340.00,0
32,230400.00,122827.00,0
33,230400.00,128385.00,0
34,259200.00,130580.00,0
35,230400.00,130968.00,0
36,259200.00,131557.00,0
37,230400.00,131311.00,0
38,230400.00,133105.00,0
39,259200.00,139757.00,0
40,230400.00,142031.00,0
41,230400.00,143196.00,0
42,259200.00,143219.00,0
43,230400.00,144992.00,0
44,230400.00,151527.00,0
45,259200.00,153902.00,0
46,230400.00,155128.00,0
47,259200.00,155197.00,0
48,230400.00,156295.00,0
49,230400.00,162842.00,0
50,259200.00,165666.00,0
51,230400.00,167024.00,0
52,230400.00,167120.00,0
53,259200.00,167215.00,0
54,230400.00,167989.00,0
55,259200.00,174154.00,0
56,230400.00,177842.00,0
57,230400.00,178713.00,0
58,259200.00,179029.00,0
59,230400.00,179553.00,0
60,230400.00,185101.00,0
61,259200.00,189345.00,0
62,230400.00,190604.00,0
63,230400.00,190909.00,0
64,259200.00,191233.00,0
65,230400.00,196187.00,0
66,259200.00,201011.00,0
67,230400.00,202455.00,0
68,230400.00,202857.00,0
69,259200.00,203217.00,0
70,230400.00,203073.00,0
71,230400.00,203248.00,0
72,259200.00,203180.00,0
73,230400.00,203102.00,0
74,230400.00,203312.00,0
75,259200.00,203107.00,0
76,230400.00,203256.00,0
77,259200.00,203183.00,0
78,230400.00,203103.00,0
79,230400.00,203236.00,0
80,259200.00,203077.00,0
81,230400.00,203281.00,0
82,230400.00,203167.00,0
83,259200.00,203131.00,0
84,230400.00,203288.00,0
85,259200.00,203094.00,0
86,230400.00,203287.00,0
87,230400.00,203169.00,0
88,259200.00,203131.00,0
89,230400.00,203289.00,0
90,230400.00,203099.00,0
91,259200.00,203261.00,0
92,230400.00,203169.00,0
93,230400.00,203103.00,0
94,259200.00,203224.00,0
95,230400.00,203071.00,0
96,259200.00,203278.00,0
97,230400.00,203146.00,0
98,230400.00,203136.00,0
99,259200.00,203273.00,0
100,230400.00,203086.00,0
101,230400.00,203287.00,0
102,259200.00,203160.00,0
103,230400.00,203137.00,0
104,230400.00,203289.00,0
105,259200.00,203094.00,0
106,230400.00,203287.00,0
107,259200.00,203160.00,0
108,230400.00,203137.00,0
109,230400.00,203207.00,0
110,259200.00,203067.00,0
111,230400.00,203309.00,0
112,230400.00,203146.00,0
113,259200.00,203170.00,0
114,230400.00,203252.00,0
115,259200.00,203082.00,0
116,230400.00,203313.00,0
117,230400.00,203148.00,0
118,259200.00,203170.00,0
119,230400.00,203252.00,0
120,230400.00,203086.00,0
121,259200.00,203284.00,0
122,230400.00,203148.00,0
123,230400.00,203137.00,0
124,259200.00,203196.00,0
125,230400.00,203062.00,0
126,259200.00,203299.00,0
127,230400.00,203128.00,0
128,230400.00,203182.00,0
129,259200.00,203239.00,0
130,230400.00,203076.00,0
131,230400.00,203313.00,0
132,259200.00,203140.00,0
133,230400.00,203182.00,0
134,230400.00,203252.00,0
135,259200.00,203082.00,0
136,230400.00,203313.00,0
137,259200.00,203140.00,0
138,230400.00,203166.00,0
139,230400.00,203181.00,0
140,259200.00,203072.00,0
141,230400.00,203317.00,0
142,230400.00,203128.00,0
143,259200.00,203204.00,0
144,230400.00,203221.00,0
145,259200.00,203085.00,0
146,230400.00,203321.00,0
147,230400.00,203129.00,0
148,259200.00,203205.00,0
149,230400.00,203221.00,0
150,230400.00,203076.00,0
151,259200.00,203304.00,0
152,230400.00,203129.00,0
153,230400.00,203166.00,0
154,259200.00,203171.00,0
155,230400.00,203070.00,0
156,259200.00,203303.00,0
157,230400.00,203112.00,0
158,230400.00,203221.00,0
159,259200.00,203209.00,0
160,230400.00,203082.00,0
161,230400.00,203321.00,0
162,259200.00,203122.00,0
163,230400.00,203222.00,0
164,230400.00,203221.00,0
165,259200.00,203085.00,0
166,230400.00,203321.00,0
167,259200.00,203122.00,0
168,230400.00,203192.00,0
169,230400.00,203158.00,0
170,259200.00,203091.00,0
171,230400.00,203308.00,0
172,230400.00,203112.00,0
173,259200.00,203234.00,0
174,230400.00,203193.00,0
175,259200.00,203102.00,0
176,230400.00,203312.00,0
177,230400.00,203113.00,0
178,259200.00,203234.00,0
179,230400.00,203193.00,0
180,230400.00,203082.00,0
181,259200.00,203307.00,0
182,230400.00,203113.00,0
183,230400.00,203192.00,0
184,259200.00,203150.00,0
185,230400.00,203092.00,0
186,259200.00,203293.00,0
187,230400.00,203098.00,0
188,230400.00,203256.00,0
189,259200.00,203183.00,0
190,230400.00,203103.00,0
191,230400.00,203312.00,0
192,259200.00,203107.00,0
193,230400.00,203256.00,0
194,230400.00,203193.00,0
195,259200.00,203102.00,0
196,230400.00,203312.00,0
197,259200.00,203107.00,0
198,230400.00,203215.00,0
199,230400.00,203138.00,0
200,259200.00,203121.00,0
201,230400.00,203285.00,0
202,230400.00,203098.00,0
203,259200.00,203260.00,0
204,230400.00,203169.00,0
205,259200.00,203131.00,0
206,230400.00,203289.00,0
207,230400.00,203099.00,0
208,259200.00,203261.00,0
209,230400.00,203169.00,0
210,230400.00,203103.00,0
211,259200.00,203297.00,0
212,230400.00,203099.00,0
213,230400.00,203215.00,0
214,259200.00,203131.00,0
215,230400.00,203127.00,0
216,259200.00,203270.00,0
217,230400.00,203085.00,0
218,230400.00,203286.00,0
219,259200.00,203160.00,0
220,230400.00,203137.00,0
221,230400.00,203289.00,0
222,259200.00,203094.00,0
223,230400.00,203287.00,0
224,230400.00,203169.00,0
225,259200.00,203131.00,0
226,230400.00,203289.00,0
227,259200.00,203094.00,0
228,230400.00,203235.00,0
229,230400.00,203121.00,0
230,259200.00,203162.00,0
231,230400.00,203250.00,0
232,230400.00,203085.00,0
233,259200.00,203283.00,0
234,230400.00,203148.00,0
235,259200.00,203170.00,0
236,230400.00,203252.00,0
237,230400.00,203086.00,0
238,259200.00,203284.00,0
239,230400.00,203148.00,0
240,230400.00,203137.00,0
241,259200.00,203273.00,0
242,230400.00,203086.00,0
243,230400.00,203235.00,0
244,259200.00,203114.00,0
245,230400.00,203174.00,0
246,259200.00,203236.00,0
247,230400.00,203075.00,0
248,230400.00,203313.00,0
249,259200.00,203140.00,0
250,230400.00,203182.00,0
251,230400.00,203252.00,0
252,259200.00,203082.00,0
253,230400.00,203313.00,0
254,230400.00,203148.00,0
255,259200.00,203170.00,0
256,230400.00,203252.00,0
257,259200.00,203082.00,0
258,230400.00,203252.00,0
259,230400.00,203106.00,0
260,259200.00,203197.00,0
261,230400.00,203218.00,0
262,230400.00,203075.00,0
263,259200.00,203303.00,0
264,230400.00,203129.00,0
265,259200.00,203205.00,0
266,230400.00,203221.00,0
267,230400.00,203076.00,0
268,259200.00,203304.00,0
269,230400.00,203129.00,0
270,230400.00,203182.00,0
271,259200.00,203239.00,0
272,230400.00,203076.00,0
273,230400.00,203252.00,0
274,259200.00,203100.00,0
275,230400.00,203215.00,0
276,259200.00,203207.00,0
277,230400.00,203081.00,0
278,230400.00,203321.00,0
