Time (s), Throughput (bps), Average RTT (s), Packet Loss (packets)
0.1, 4480, 0.0503248, 0
0.2, 844160, 0.0705545, 0
0.3, 1.09504e+06, 0.0687282, 0
0.4, 1.93888e+06, 0.0746196, 0
0.5, 2.06656e+06, 0.0817775, 0
0.6, 2.0624e+06, 0.117609, 0
0.7, 2.0624e+06, 0.15161, 0
0.8, 1.9472e+06, 0.177147, 0
0.9, 2.0624e+06, 0.21878, 0
1, 2.0624e+06, 0.252962, 0
1.1, 2.06656e+06, 0.278496, 1
1.2, 1.94304e+06, 0.315897, 1
1.3, 2.06656e+06, 0.343082, 2
1.4, 2.0624e+06, 0.389454, 3
1.5, 2.0624e+06, 0.423637, 2
1.6, 1.9472e+06, 0.433398, 4
1.7, 2.0624e+06, 0.490807, 3
1.8, 2.0896e+06, 0.444297, 5
1.9, 1.9984e+06, 0.409379, 5
2, 2.13248e+06, 0.442115, 0
2.1, 2.1264e+06, 0.472999, 0
2.2, 2.13248e+06, 0.45688, 0
2.3, 2.01312e+06, 0.43766, 0
2.4, 2.13248e+06, 0.441588, 0
2.5, 2.1264e+06, 0.442757, 0
2.6, 2.13248e+06, 0.349799, 0
2.7, 2.01312e+06, 0.282944, 0
2.8, 2.13248e+06, 0.297745, 0
2.9, 2.1264e+06, 0.313751, 0
3, 2.13248e+06, 0.315146, 0
3.1, 2.01312e+06, 0.316445, 0
3.2, 2.13248e+06, 0.335535, 0
3.3, 2.1136e+06, 0.353202, 0
3.4, 1.95328e+06, 0.414909, 0
3.5, 2.06656e+06, 0.437691, 0
3.6, 2.0624e+06, 0.453187, 0
3.7, 2.0624e+06, 0.453187, 0
3.8, 1.9472e+06, 0.429488, 1
3.9, 2.0624e+06, 0.453197, 1
4, 2.0624e+06, 0.454933, 2
4.1, 2.06656e+06, 0.447203, 1
4.2, 1.94304e+06, 0.458325, 2
4.3, 2.06656e+06, 0.454788, 2
4.4, 2.0624e+06, 0.475031, 1
4.5, 2.08416e+06, 0.41749, 2
4.6, 1.99648e+06, 0.353961, 0
4.7, 2.13184e+06, 0.362317, 0
4.8, 2.1264e+06, 0.373399, 0
4.9, 2.01312e+06, 0.353996, 0
5, 2.13248e+06, 0.361615, 0
5.1, 2.1264e+06, 0.373037, 0
5.2, 2.13248e+06, 0.306033, 0
5.3, 2.01312e+06, 0.250709, 0
5.4, 2.13248e+06, 0.260835, 0
5.5, 2.1264e+06, 0.273368, 0
5.6, 2.12672e+06, 0.271896, 0
5.7, 1.99968e+06, 0.267522, 0
5.8, 2.07808e+06, 0.326578, 0
5.9, 2.0624e+06, 0.359722, 0
6, 2.06656e+06, 0.347821, 0
6.1, 1.94304e+06, 0.35367, 0
6.2, 2.06656e+06, 0.347856, 0
6.3, 2.0624e+06, 0.360998, 0
6.4, 1.94304e+06, 0.359721, 0
6.5, 2.06656e+06, 0.354115, 0
6.6, 2.0624e+06, 0.370331, 0
6.7, 2.0624e+06, 0.373917, 0
6.8, 1.9472e+06, 0.357383, 0
6.9, 2.0624e+06, 0.380371, 0
7, 2.0624e+06, 0.383956, 0
7.1, 2.06656e+06, 0.374112, 0
7.2, 1.94304e+06, 0.383625, 0
7.3, 2.06656e+06, 0.380777, 0
7.4, 2.0624e+06, 0.397104, 0
7.5, 2.0624e+06, 0.400211, 0
7.6, 1.9472e+06, 0.382244, 0
7.7, 2.0624e+06, 0.406665, 0
7.8, 2.0624e+06, 0.408817, 0
7.9, 1.9472e+06, 0.390371, 0
8, 2.0624e+06, 0.414793, 0
8.1, 2.06656e+06, 0.403302, 0
8.2, 2.0624e+06, 0.418617, 0
8.3, 1.94304e+06, 0.415497, 0
8.4, 2.06656e+06, 0.408359, 0
8.5, 2.0624e+06, 0.425788, 0
8.6, 2.0624e+06, 0.426984, 0
8.7, 1.9472e+06, 0.406626, 0
8.8, 2.0624e+06, 0.431047, 0
8.9, 2.0624e+06, 0.430808, 0
9, 2.06656e+06, 0.417323, 0
9.1, 1.94304e+06, 0.427449, 0
9.2, 2.06656e+06, 0.420311, 0
9.3, 2.0624e+06, 0.434872, 0
9.4, 1.94304e+06, 0.427449, 0
9.5, 2.06656e+06, 0.420311, 0
9.6, 2.0624e+06, 0.434872, 0
9.7, 2.0624e+06, 0.437023, 0
9.8, 1.9472e+06, 0.416187, 0
9.9, 2.0624e+06, 0.439175, 0
10, 2.0624e+06, 0.438936, 0
10.1, 2.06656e+06, 0.424218, 0
10.2, 1.94304e+06, 0.431433, 0
10.3, 2.06656e+06, 0.423988, 0
10.4, 2.0624e+06, 0.439175, 0
10.5, 2.0624e+06, 0.438936, 0
10.6, 1.9472e+06, 0.416187, 0
10.7, 2.0624e+06, 0.439175, 0
10.8, 2.0624e+06, 0.438936, 0
10.9, 1.9472e+06, 0.416187, 0
11, 2.0624e+06, 0.439175, 0
11.1, 2.06656e+06, 0.423988, 0
11.2, 2.0624e+06, 0.439175, 0
11.3, 1.94304e+06, 0.431433, 0
11.4, 2.06656e+06, 0.427666, 0
11.5, 2.0624e+06, 0.442999, 0
11.6, 2.0624e+06, 0.443238, 0
11.7, 1.9472e+06, 0.421446, 0
11.8, 2.0624e+06, 0.447302, 0
11.9, 2.0624e+06, 0.447063, 0
12, 2.06656e+06, 0.435251, 0
12.1, 1.94304e+06, 0.443385, 0
12.2, 2.06656e+06, 0.43594, 0
12.3, 2.0624e+06, 0.452083, 0
12.4, 1.94304e+06, 0.447369, 0
12.5, 2.06656e+06, 0.441916, 0
12.6, 2.0624e+06, 0.459254, 0
12.7, 2.0624e+06, 0.459971, 1
12.8, 1.9472e+06, 0.439135, 0
12.9, 2.0624e+06, 0.463557, 1
13, 2.0624e+06, 0.46762, 1
13.1, 2.06656e+06, 0.452259, 1
13.2, 1.94304e+06, 0.463305, 2
13.3, 2.06656e+06, 0.458005, 0
13.4, 2.07392e+06, 0.442692, 2
13.5, 2.112e+06, 0.3621, 0
13.6, 2.00224e+06, 0.352887, 0
13.7, 2.13184e+06, 0.362668, 0
13.8, 2.1264e+06, 0.372675, 0
13.9, 2.01312e+06, 0.352548, 0
14, 2.13248e+06, 0.363021, 0
14.1, 2.13248e+06, 0.325027, 0
14.2, 2.1264e+06, 0.263408, 0
14.3, 2.01312e+06, 0.253607, 0
14.4, 2.13248e+06, 0.263823, 0
14.5, 2.1168e+06, 0.272804, 0
14.6, 2.11456e+06, 0.269938, 0
14.7, 1.95264e+06, 0.322968, 0
14.8, 2.0624e+06, 0.351595, 0
14.9, 2.0624e+06, 0.351595, 0
15, 2.06656e+06, 0.340036, 0
15.1, 1.94304e+06, 0.345739, 0
15.2, 2.06656e+06, 0.34469, 0
15.3, 2.0624e+06, 0.361248, 0
15.4, 1.94304e+06, 0.358725, 0
15.5, 2.06656e+06, 0.356413, 0
15.6, 2.0624e+06, 0.3732, 0
15.7, 2.0624e+06, 0.378698, 0
15.8, 1.9472e+06, 0.364555, 0
15.9, 2.0624e+06, 0.388976, 0
16, 2.0624e+06, 0.394474, 0
16.1, 2.06656e+06, 0.386523, 0
16.2, 1.94304e+06, 0.398067, 0
16.3, 2.06656e+06, 0.396866, 0
16.4, 2.0624e+06, 0.416705, 0
16.5, 2.0624e+06, 0.421247, 0
16.6, 1.9472e+06, 0.404235, 0
16.7, 2.0624e+06, 0.431525, 0
16.8, 2.0624e+06, 0.436067, 0
16.9, 1.9472e+06, 0.417622, 0
17, 2.0624e+06, 0.444912, 0
17.1, 2.06656e+06, 0.434101, 0
17.2, 2.0624e+06, 0.453517, 1
17.3, 1.94304e+06, 0.449361, 1
17.4, 2.06656e+06, 0.445594, 0
17.5, 2.0624e+06, 0.464991, 1
17.6, 2.0624e+06, 0.468577, 1
17.7, 1.9472e+06, 0.446784, 0
17.8, 2.0624e+06, 0.475031, 1
17.9, 2.0896e+06, 0.40366, 0
18, 2.11392e+06, 0.361577, 0
18.1, 2.00224e+06, 0.352162, 0
18.2, 2.13248e+06, 0.362494, 0
18.3, 2.1264e+06, 0.369596, 0
18.4, 2.01312e+06, 0.353272, 0
18.5, 2.13248e+06, 0.360736, 0
18.6, 2.13248e+06, 0.293375, 0
18.7, 2.11808e+06, 0.263209, 0
18.8, 1.99904e+06, 0.252853, 0
18.9, 2.11072e+06, 0.259911, 0
19, 2.0944e+06, 0.282693, 0
19.1, 2.0624e+06, 0.339405, 0
19.2, 1.9472e+06, 0.322426, 0
19.3, 2.0624e+06, 0.33945, 0
19.4, 2.0624e+06, 0.339465, 0
19.5, 2.06656e+06, 0.329969, 0
19.6, 1.94304e+06, 0.339801, 0
19.7, 2.06656e+06, 0.336647, 0
19.8, 2.0624e+06, 0.349774, 0
19.9, 2.0624e+06, 0.353837, 0
20, 1.9472e+06, 0.339216, 0
20.1, 2.0624e+06, 0.359813, 0
20.2, 2.0624e+06, 0.362443, 0
20.3, 1.9472e+06, 0.347344, 0
20.4, 2.0624e+06, 0.369853, 0
20.5, 2.0624e+06, 0.372961, 0
20.6, 2.06656e+06, 0.363539, 0
20.7, 1.94304e+06, 0.371673, 0
20.8, 2.06656e+06, 0.369285, 0
20.9, 2.0624e+06, 0.384195, 0
21, 2.0624e+06, 0.386347, 0
21.1, 1.9472e+06, 0.369814, 0
21.2, 2.0624e+06, 0.391845, 0
21.3, 2.0624e+06, 0.394474, 0
21.4, 2.06656e+06, 0.383305, 0
21.5, 1.94304e+06, 0.391593, 0
21.6, 2.06656e+06, 0.387672, 0
21.7, 2.0624e+06, 0.402362, 0
21.8, 1.94304e+06, 0.398067, 0
21.9, 2.06656e+06, 0.392729, 0
22, 2.0624e+06, 0.406665, 0
22.1, 2.0624e+06, 0.408338, 0
22.2, 1.9472e+06, 0.389415, 0
22.3, 2.0624e+06, 0.41049, 0
22.4, 2.0624e+06, 0.410729, 0
22.5, 2.06656e+06, 0.396636, 0
22.6, 1.94304e+06, 0.403545, 0
22.7, 2.06656e+06, 0.396866, 0
22.8, 2.0624e+06, 0.414793, 0
22.9, 2.0624e+06, 0.414554, 0
23, 1.9472e+06, 0.393239, 0
23.1, 2.0624e+06, 0.414793, 0
23.2, 2.0624e+06, 0.414554, 0
23.3, 1.9472e+06, 0.393239, 0
23.4, 2.0624e+06, 0.414793, 0
23.5, 2.0624e+06, 0.414554, 0
23.6, 2.06656e+06, 0.400774, 0
23.7, 1.94304e+06, 0.407529, 0
23.8, 2.06656e+06, 0.400544, 0
23.9, 2.0624e+06, 0.414793, 0
24, 2.0624e+06, 0.414554, 0
24.1, 1.9472e+06, 0.393239, 0
24.2, 2.0624e+06, 0.414793, 0
24.3, 2.0624e+06, 0.414554, 0
24.4, 2.06656e+06, 0.400774, 0
24.5, 1.94304e+06, 0.409521, 0
24.6, 2.06656e+06, 0.404681, 0
24.7, 2.0624e+06, 0.418617, 0
24.8, 1.94304e+06, 0.411513, 0
24.9, 2.06656e+06, 0.408359, 0
25, 2.0624e+06, 0.42292, 0
25.1, 2.0624e+06, 0.424593, 0
25.2, 1.9472e+06, 0.404713, 0
25.3, 2.0624e+06, 0.426745, 0
25.4, 2.0624e+06, 0.43033, 0
25.5, 2.06656e+06, 0.416403, 0
25.6, 1.94304e+06, 0.423465, 0
25.7, 2.06656e+06, 0.418472, 0
25.8, 2.0624e+06, 0.434872, 0
25.9, 2.0624e+06, 0.436067, 0
26, 1.9472e+06, 0.416187, 0
26.1, 2.0624e+06, 0.441087, 0
26.2, 2.0624e+06, 0.443238, 0
26.3, 1.9472e+06, 0.42288, 0
26.4, 2.0624e+06, 0.448736, 0
26.5, 2.06656e+06, 0.4364, 1
26.6, 2.0624e+06, 0.455429, 1
26.7, 1.94304e+06, 0.451353, 2
26.8, 2.06656e+06, 0.446973, 1
26.9, 2.0624e+06, 0.466903, 2
27, 2.0624e+06, 0.471445, 2
27.1, 1.9472e+06, 0.450609, 1
27.2, 2.0896e+06, 0.405453, 2
27.3, 2.11168e+06, 0.373006, 0
27.4, 2.13248e+06, 0.362318, 0
27.5, 2.01312e+06, 0.353996, 0
27.6, 2.13248e+06, 0.362846, 0
27.7, 2.1264e+06, 0.372131, 0
27.8, 2.01312e+06, 0.354359, 0
27.9, 2.13248e+06, 0.299877, 0
28, 2.1264e+06, 0.263408, 0
28.1, 2.13248e+06, 0.261362, 0
28.2, 2.01312e+06, 0.260851, 0
28.3, 2.13248e+06, 0.269799, 0
28.4, 2.11488e+06, 0.281311, 0
28.5, 2.07808e+06, 0.326578, 0
28.6, 1.9472e+06, 0.341521, 0
28.7, 2.0624e+06, 0.359722, 0
28.8, 2.0624e+06, 0.359722, 0
28.9, 2.06656e+06, 0.347852, 0
29, 1.94304e+06, 0.356972, 0
29.1, 2.06656e+06, 0.355494, 0
29.2, 2.0624e+06, 0.371287, 0
29.3, 1.94304e+06, 0.368685, 0
29.4, 2.06656e+06, 0.366986, 0
29.5, 2.0624e+06, 0.384674, 0
29.6, 2.0624e+06, 0.390171, 0
29.7, 1.9472e+06, 0.375551, 0
