Time (s), Throughput (bps), Average RTT (s), Packet Loss (packets)
0.1, 4480, 0.0503248, 0
0.2, 844160, 0.0705545, 0
0.3, 1.09504e+06, 0.0678745, 0
0.4, 1.46144e+06, 0.0648312, 0
0.5, 2.05824e+06, 0.0759344, 0
0.6, 2.0624e+06, 0.0806147, 0
0.7, 2.0624e+06, 0.103802, 0
0.8, 1.9472e+06, 0.12169, 0
0.9, 2.0624e+06, 0.148502, 0
1, 2.0624e+06, 0.171689, 0
1.1, 2.06656e+06, 0.188856, 0
1.2, 1.94304e+06, 0.213807, 0
1.3, 2.06656e+06, 0.231837, 0
1.4, 2.0624e+06, 0.262285, 0
1.5, 2.0624e+06, 0.285472, 0
1.6, 1.9472e+06, 0.292365, 0
1.7, 2.0624e+06, 0.330172, 0
1.8, 2.0624e+06, 0.352881, 1
1.9, 1.9472e+06, 0.356427, 2
2, 2.0624e+06, 0.397582, 2
2.1, 2.06656e+06, 0.40652, 2
2.2, 2.0624e+06, 0.443955, 3
2.3, 1.94304e+06, 0.457827, 3
2.4, 2.06656e+06, 0.470877, 4
2.5, 2.09568e+06, 0.419447, 5
2.6, 2.1216e+06, 0.400437, 5
2.7, 2.01312e+06, 0.402167, 4
2.8, 2.13248e+06, 0.424539, 0
2.9, 2.1264e+06, 0.446922, 0
3, 2.13248e+06, 0.445279, 0
3.1, 2.01312e+06, 0.441282, 0
3.2, 2.13248e+06, 0.461274, 0
3.3, 2.1264e+06, 0.480424, 0
3.4, 2.01312e+06, 0.292738, 0
3.5, 2.13248e+06, 0.229724, 0
3.6, 2.1264e+06, 0.24548, 0
3.7, 2.13248e+06, 0.250465, 0
3.8, 2.01312e+06, 0.255237, 0
3.9, 2.128e+06, 0.273305, 0
4, 2.07264e+06, 0.336807, 0
4.1, 2.0624e+06, 0.359722, 0
4.2, 1.9472e+06, 0.341521, 0
4.3, 2.0624e+06, 0.359722, 0
4.4, 2.0624e+06, 0.359731, 0
4.5, 2.06656e+06, 0.346523, 0
4.6, 1.94304e+06, 0.351753, 0
4.7, 2.06656e+06, 0.34584, 0
4.8, 2.0624e+06, 0.357901, 0
4.9, 1.94304e+06, 0.351753, 0
5, 2.06656e+06, 0.3463, 0
5.1, 2.0624e+06, 0.361726, 0
5.2, 2.0624e+06, 0.361965, 0
5.3, 1.9472e+06, 0.343519, 0
5.4, 2.0624e+06, 0.361726, 0
5.5, 2.0624e+06, 0.361965, 0
5.6, 2.06656e+06, 0.349748, 0
5.7, 1.94304e+06, 0.355737, 0
5.8, 2.06656e+06, 0.349978, 0
5.9, 2.0624e+06, 0.361726, 0
6, 2.0624e+06, 0.361965, 0
6.1, 1.9472e+06, 0.343519, 0
6.2, 2.0624e+06, 0.364116, 0
6.3, 2.0624e+06, 0.365789, 0
6.4, 1.9472e+06, 0.347344, 0
6.5, 2.0624e+06, 0.366028, 0
6.6, 2.06656e+06, 0.353655, 0
6.7, 2.0624e+06, 0.366028, 0
6.8, 1.94304e+06, 0.359721, 0
6.9, 2.06656e+06, 0.353655, 0
7, 2.0624e+06, 0.366028, 0
7.1, 2.0624e+06, 0.365789, 0
7.2, 1.9472e+06, 0.347344, 0
7.3, 2.0624e+06, 0.366028, 0
7.4, 2.0624e+06, 0.370092, 0
7.5, 2.06656e+06, 0.357563, 0
7.6, 1.94304e+06, 0.363705, 0
7.7, 2.06656e+06, 0.357792, 0
7.8, 2.0624e+06, 0.369853, 0
7.9, 1.94304e+06, 0.363705, 0
8, 2.06656e+06, 0.357792, 0
8.1, 2.0624e+06, 0.369853, 0
8.2, 2.0624e+06, 0.370092, 0
8.3, 1.9472e+06, 0.351168, 0
8.4, 2.0624e+06, 0.369853, 0
8.5, 2.0624e+06, 0.370092, 0
8.6, 2.06656e+06, 0.360321, 0
8.7, 1.94304e+06, 0.367689, 0
8.8, 2.06656e+06, 0.36147, 0
8.9, 2.0624e+06, 0.374156, 0
9, 2.0624e+06, 0.373917, 0
9.1, 1.9472e+06, 0.354993, 0
9.2, 2.0624e+06, 0.374156, 0
9.3, 2.0624e+06, 0.373917, 0
9.4, 1.9472e+06, 0.354993, 0
9.5, 2.0624e+06, 0.374156, 0
9.6, 2.06656e+06, 0.36147, 0
9.7, 2.0624e+06, 0.374156, 0
9.8, 1.94304e+06, 0.368685, 0
9.9, 2.06656e+06, 0.365607, 0
10, 2.0624e+06, 0.37798, 0
10.1, 2.0624e+06, 0.378219, 0
10.2, 1.9472e+06, 0.358818, 0
10.3, 2.0624e+06, 0.37798, 0
10.4, 2.0624e+06, 0.378219, 0
10.5, 2.06656e+06, 0.365377, 0
10.6, 1.94304e+06, 0.371673, 0
10.7, 2.06656e+06, 0.365607, 0
10.8, 2.0624e+06, 0.37798, 0
10.9, 1.94304e+06, 0.371673, 0
11, 2.06656e+06, 0.365607, 0
11.1, 2.0624e+06, 0.381805, 0
11.2, 2.0624e+06, 0.382044, 0
11.3, 1.9472e+06, 0.362642, 0
11.4, 2.0624e+06, 0.382283, 0
11.5, 2.0624e+06, 0.382044, 0
11.6, 2.06656e+06, 0.369515, 0
11.7, 1.94304e+06, 0.375657, 0
11.8, 2.06656e+06, 0.369285, 0
11.9, 2.0624e+06, 0.382283, 0
12, 2.0624e+06, 0.382044, 0
12.1, 1.9472e+06, 0.362642, 0
12.2, 2.0624e+06, 0.382283, 0
12.3, 2.0624e+06, 0.384434, 0
12.4, 1.9472e+06, 0.366467, 0
12.5, 2.0624e+06, 0.386108, 0
12.6, 2.06656e+06, 0.373422, 0
12.7, 2.0624e+06, 0.386108, 0
12.8, 1.94304e+06, 0.379641, 0
12.9, 2.06656e+06, 0.373422, 0
13, 2.0624e+06, 0.386108, 0
13.1, 2.0624e+06, 0.386347, 0
13.2, 1.9472e+06, 0.366467, 0
13.3, 2.0624e+06, 0.386108, 0
13.4, 2.0624e+06, 0.386347, 0
13.5, 2.06656e+06, 0.374112, 0
13.6, 1.94304e+06, 0.383625, 0
13.7, 2.06656e+06, 0.3771, 0
13.8, 2.0624e+06, 0.39041, 0
13.9, 1.94304e+06, 0.383625, 0
14, 2.06656e+06, 0.3771, 0
14.1, 2.0624e+06, 0.39041, 0
14.2, 2.0624e+06, 0.390171, 0
14.3, 1.9472e+06, 0.370292, 0
14.4, 2.0624e+06, 0.39041, 0
14.5, 2.0624e+06, 0.390171, 0
14.6, 2.06656e+06, 0.377329, 0
14.7, 1.94304e+06, 0.383625, 0
14.8, 2.06656e+06, 0.380317, 0
14.9, 2.0624e+06, 0.394235, 0
15, 2.0624e+06, 0.394474, 0
15.1, 1.9472e+06, 0.374116, 0
15.2, 2.0624e+06, 0.394235, 0
15.3, 2.0624e+06, 0.394474, 0
15.4, 1.9472e+06, 0.374116, 0
15.5, 2.0624e+06, 0.394235, 0
15.6, 2.06656e+06, 0.381237, 0
15.7, 2.0624e+06, 0.394235, 0
15.8, 1.94304e+06, 0.387609, 0
15.9, 2.06656e+06, 0.381237, 0
16, 2.0624e+06, 0.396147, 0
16.1, 2.0624e+06, 0.398299, 0
16.2, 1.9472e+06, 0.377941, 0
16.3, 2.0624e+06, 0.398538, 0
16.4, 2.0624e+06, 0.398299, 0
16.5, 2.06656e+06, 0.385144, 0
16.6, 1.94304e+06, 0.391593, 0
16.7, 2.06656e+06, 0.384914, 0
16.8, 2.0624e+06, 0.398538, 0
16.9, 1.94304e+06, 0.391593, 0
17, 2.06656e+06, 0.384914, 0
17.1, 2.0624e+06, 0.398538, 0
17.2, 2.0624e+06, 0.398299, 0
17.3, 1.9472e+06, 0.378419, 0
17.4, 2.0624e+06, 0.402362, 0
17.5, 2.0624e+06, 0.402602, 0
17.6, 2.06656e+06, 0.388822, 0
17.7, 1.94304e+06, 0.395577, 0
17.8, 2.06656e+06, 0.389052, 0
17.9, 2.0624e+06, 0.402362, 0
18, 2.0624e+06, 0.402602, 0
18.1, 1.9472e+06, 0.381766, 0
18.2, 2.0624e+06, 0.402362, 0
18.3, 2.0624e+06, 0.402602, 0
18.4, 1.9472e+06, 0.381766, 0
18.5, 2.0624e+06, 0.402362, 0
18.6, 2.06656e+06, 0.389052, 0
18.7, 2.0624e+06, 0.405709, 0
18.8, 1.94304e+06, 0.399561, 0
18.9, 2.06656e+06, 0.392729, 0
19, 2.0624e+06, 0.406665, 0
19.1, 2.0624e+06, 0.406426, 0
19.2, 1.9472e+06, 0.38559, 0
19.3, 2.0624e+06, 0.406665, 0
19.4, 2.0624e+06, 0.406426, 0
19.5, 2.06656e+06, 0.392959, 0
19.6, 1.94304e+06, 0.399561, 0
19.7, 2.06656e+06, 0.392729, 0
19.8, 2.0624e+06, 0.406665, 0
19.9, 2.0624e+06, 0.406426, 0
20, 1.9472e+06, 0.387503, 0
20.1, 2.0624e+06, 0.41049, 0
20.2, 2.0624e+06, 0.410729, 0
20.3, 1.9472e+06, 0.389415, 0
20.4, 2.0624e+06, 0.41049, 0
20.5, 2.0624e+06, 0.410729, 0
20.6, 2.06656e+06, 0.396636, 0
20.7, 1.94304e+06, 0.403545, 0
20.8, 2.06656e+06, 0.396866, 0
20.9, 2.0624e+06, 0.41049, 0
21, 2.0624e+06, 0.410729, 0
21.1, 1.9472e+06, 0.389415, 0
21.2, 2.0624e+06, 0.41049, 0
21.3, 2.0624e+06, 0.411207, 0
21.4, 2.06656e+06, 0.400774, 0
21.5, 1.94304e+06, 0.407529, 0
21.6, 2.06656e+06, 0.400544, 0
21.7, 2.0624e+06, 0.414793, 0
21.8, 1.94304e+06, 0.407529, 0
21.9, 2.06656e+06, 0.400544, 0
22, 2.0624e+06, 0.414793, 0
22.1, 2.0624e+06, 0.414554, 0
22.2, 1.9472e+06, 0.393239, 0
22.3, 2.0624e+06, 0.414793, 0
22.4, 2.0624e+06, 0.414554, 0
22.5, 2.06656e+06, 0.400774, 0
22.6, 1.94304e+06, 0.407529, 0
22.7, 2.06656e+06, 0.404221, 0
22.8, 2.0624e+06, 0.418617, 0
22.9, 2.0624e+06, 0.418856, 0
23, 1.9472e+06, 0.397064, 0
23.1, 2.0624e+06, 0.418617, 0
23.2, 2.0624e+06, 0.418856, 0
23.3, 1.9472e+06, 0.397064, 0
23.4, 2.0624e+06, 0.418617, 0
23.5, 2.0624e+06, 0.418856, 0
23.6, 2.06656e+06, 0.404451, 0
23.7, 1.94304e+06, 0.411513, 0
23.8, 2.06656e+06, 0.404681, 0
23.9, 2.0624e+06, 0.418617, 0
24, 2.0624e+06, 0.421247, 0
24.1, 1.9472e+06, 0.400889, 0
24.2, 2.0624e+06, 0.42292, 0
24.3, 2.0624e+06, 0.422681, 0
24.4, 2.06656e+06, 0.408588, 0
24.5, 1.94304e+06, 0.415497, 0
24.6, 2.06656e+06, 0.408359, 0
24.7, 2.0624e+06, 0.42292, 0
24.8, 1.94304e+06, 0.415497, 0
24.9, 2.06656e+06, 0.408359, 0
25, 2.0624e+06, 0.42292, 0
25.1, 2.0624e+06, 0.422681, 0
25.2, 1.9472e+06, 0.400889, 0
25.3, 2.0624e+06, 0.423876, 0
25.4, 2.0624e+06, 0.426984, 0
25.5, 2.06656e+06, 0.412266, 0
25.6, 1.94304e+06, 0.419481, 0
25.7, 2.06656e+06, 0.412496, 0
25.8, 2.0624e+06, 0.426745, 0
25.9, 2.0624e+06, 0.426984, 0
26, 1.9472e+06, 0.404713, 0
26.1, 2.0624e+06, 0.426745, 0
26.2, 2.0624e+06, 0.426984, 0
26.3, 1.9472e+06, 0.404713, 0
26.4, 2.0624e+06, 0.426745, 0
26.5, 2.06656e+06, 0.412496, 0
26.6, 2.0624e+06, 0.426745, 0
26.7, 1.94304e+06, 0.422469, 0
26.8, 2.06656e+06, 0.416173, 0
26.9, 2.0624e+06, 0.431047, 0
27, 2.0624e+06, 0.430808, 0
27.1, 1.9472e+06, 0.408538, 0
27.2, 2.0624e+06, 0.431047, 0
27.3, 2.0624e+06, 0.430808, 0
27.4, 2.06656e+06, 0.416403, 0
27.5, 1.94304e+06, 0.423465, 0
27.6, 2.06656e+06, 0.416173, 0
27.7, 2.0624e+06, 0.431047, 0
27.8, 1.94304e+06, 0.423465, 0
27.9, 2.06656e+06, 0.416173, 0
28, 2.0624e+06, 0.431047, 0
28.1, 2.0624e+06, 0.432242, 0
28.2, 1.9472e+06, 0.412363, 0
28.3, 2.0624e+06, 0.434872, 0
28.4, 2.0624e+06, 0.435111, 0
28.5, 2.06656e+06, 0.420081, 0
28.6, 1.94304e+06, 0.427449, 0
28.7, 2.06656e+06, 0.420311, 0
28.8, 2.0624e+06, 0.434872, 0
28.9, 2.0624e+06, 0.435111, 0
29, 1.9472e+06, 0.412363, 0
29.1, 2.0624e+06, 0.434872, 0
29.2, 2.0624e+06, 0.435111, 0
29.3, 1.9472e+06, 0.412363, 0
29.4, 2.0624e+06, 0.434872, 0
29.5, 2.06656e+06, 0.420311, 0
29.6, 2.0624e+06, 0.438697, 0
29.7, 1.94304e+06, 0.431433, 0
